review_id,date,category,rating,sentiment,review_text
1340,2025-07-04,Customer Support,1,Negative,Pathetic app. chat support is a bot loop. Deleting the app now.
1487,2025-01-09,Customer Support,2,Negative,Frustrated with the service. agent was unhelpful. I want a full refund.
1470,2025-04-13,Payment & App,1,Negative,Total waste of money. money deducted but order failed. Never ordering again.
1142,2025-11-23,Payment & App,2,Negative,Unacceptable experience. money deducted but order failed. Beware guys.
1343,2025-08-15,Customer Support,5,Positive,Five stars! very helpful agent. Loyal customer here.
1599,2025-03-13,Food Quality,1,Negative,Do not download this app. tasted weird and chemical-like. Totally unprofessional.
1390,2025-07-18,Food Quality,5,Positive,Five stars! fresh ingredients used. Will order again.
1553,2025-04-27,Payment & App,5,Positive,Highly recommended. payment was instant. Keep it up!
1455,2025-01-18,Payment & App,2,Negative,Frustrated with the service. money deducted but order failed. Giving 0 stars.
1347,2025-02-28,Food Quality,2,Negative,Frustrated with the service. food was cold and stale. Beware guys.
1444,2025-04-19,Customer Support,1,Negative,I regret ordering from here. chat support is a bot loop. I want a full refund.
1421,2025-11-20,Payment & App,5,Positive,Great experience. UI is buttery smooth. Made my dinner special.
1572,2025-03-18,Delivery Service,2,Negative,Total waste of money. order spilled in the bag. Totally unprofessional.
1515,2025-01-07,Payment & App,5,Positive,Smooth interface. UI is buttery smooth. Good job team.
1206,2025-04-15,Food Quality,2,Negative,Do not download this app. found a hair in the food. Beware guys.
1518,2025-09-29,Food Quality,4,Positive,Five stars! best biryani ever. Will order again.
1285,2025-07-02,Delivery Service,5,Positive,Super fast service. delivery within 20 mins. Keep it up!
1387,2025-10-20,Customer Support,1,Negative,Frustrated with the service. refused refund for missing item. Never ordering again.
1433,2025-06-30,Payment & App,5,Positive,Great experience. got a great discount coupon. Made my dinner special.
1304,2025-12-21,Customer Support,4,Positive,My go-to app. refund processed instantly. Loyal customer here.
1403,2025-11-09,Food Quality,4,Positive,Super fast service. fresh ingredients used. Loyal customer here.
1229,2025-12-07,Payment & App,5,Positive,Highly recommended. payment was instant. Loyal customer here.
1002,2025-05-16,Customer Support,4,Positive,Super fast service. refund processed instantly. Will order again.
1082,2025-07-21,Customer Support,2,Negative,Total waste of money. no one picks up the call. Beware guys.
1018,2025-05-18,Customer Support,1,Negative,Frustrated with the service. chat support is a bot loop. Giving 0 stars.
1138,2025-03-20,Food Quality,1,Negative,I regret ordering from here. tasted weird and chemical-like. Deleting the app now.
1464,2025-12-27,Food Quality,5,Positive,Five stars! taste was authentic. Keep it up!
1576,2025-01-18,Delivery Service,1,Negative,Frustrated with the service. rider was rude and yelled. Deleting the app now.
1074,2025-09-26,Food Quality,1,Negative,I regret ordering from here. found a hair in the food. Beware guys.
1309,2025-06-01,Food Quality,5,Positive,Great experience. food was piping hot. Good job team.
1268,2025-05-25,Payment & App,2,Negative,Do not download this app. app crashes on checkout. Giving 0 stars.
1540,2025-02-28,Customer Support,1,Negative,Pathetic app. no one picks up the call. Beware guys.
1583,2025-10-16,Customer Support,5,Positive,Super fast service. very helpful agent. Good job team.
1342,2025-07-19,Customer Support,4,Positive,Great experience. resolved my issue in seconds. Will order again.
